name,orgnr,omsattning_tkrk,anstallda,ort,branscher,allabolag_url
"Saga Access AB",556210-2482,12082,4,"114 59 Stockholm","Företagsutveckling;Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/saga-access-ab/stockholm/-/5562102482
"STESAM Åkersberga AB",556765-1442,10146,4,"184 30 Åkersberga","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/stesam-%C3%A5kersberga-ab/%C3%A5kersberga/-/5567651442
"SMD Office Design Aktiebolag",556195-9908,12009,0,"333 75 Reftele","Belysningsarmatur - Komponenter;Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/smd-office-design-aktiebolag/reftele/-/5561959908
"SKD Trend och Interiör AB",556969-3954,13403,7,"541 30 Skövde","Kläder, skor;Konfektion;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/skd-trend-och-interi%C3%B6r-ab/sk%C3%B6vde/-/5569693954
"SG Malmö AB",559080-4497,10518,5,"218 36 Bunkeflostrand","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/sg-malm%C3%B6-ab/bunkeflostrand/-/5590804497
"SG Göteborg AB",559082-6276,16215,7,"218 36 Bunkeflostrand","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/sg-g%C3%B6teborg-ab/bunkeflostrand/-/5590826276
"S & E Mattor AB",559247-4497,15145,4,"151 61 Södertälje","Belysningsarmatur - Komponenter;Golvbeläggningar;Mattor;Grossister;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/s-e-mattor-ab/s%C3%B6dert%C3%A4lje/-/5592474497
"Röaby försäljnings- och service Aktiebolag",556349-1041,19671,6,"024
19 671","Möbler;Hushållsmaskiner och apparater, radio, tv, cd och musikinstrument;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/r%C3%B6aby-f%C3%B6rs%C3%A4ljnings-och-service-aktiebolag/ronneby/-/5563491041
"Runstenen & Kronan Antik AB",556514-4028,12144,6,"111 29 Stockholm","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Antikviteter",https://www.allabolag.se/foretag/runstenen-kronan-antik-ab/stockholm/-/5565144028
"Rummet i Sundsvall AB",556986-1148,11509,3,"852 31 Sundsvall","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/rummet-i-sundsvall-ab/sundsvall/-/5569861148
"Rixner Möbler i Tibro AB",559298-9270,13298,2,"549 34 Skövde","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/rixner-m%C3%B6bler-i-tibro-ab/sk%C3%B6vde/-/5592989270
"Rikand Inredningar AB",556942-4103,17518,2,"132 40 Saltsjö-Boo","Kontorsinredningar;Möbler;Grossister;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/rikand-inredningar-ab/saltsj%C3%B6-boo/-/5569424103
"Riemer Linköping AB",559448-1078,18203,6,"582 73 Linköping","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/riemer-link%C3%B6ping-ab/link%C3%B6ping/-/5594481078
"Rewine AB",556826-1563,15408,1,"184 51 Österskär","Postorder/e-handel;Grossister;Möbler, inredning, kök- och belysningsutrustning;Nöjesparker;Detaljhandel;Dryckesvaror",https://www.allabolag.se/foretag/rewine-ab/%C3%B6stersk%C3%A4r/-/5568261563
"Rena snitt Sverige AB",556843-1711,14883,3,"168 67 Bromma","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/rena-snitt-sverige-ab/bromma/-/5568431711
