orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556589-5017,Växtkompaniet i Sundsvall AB,Växtkompaniet i Sundsvall AB,47123,,"47123; 64994",SUNDSVALL,86337,EKENÄSVÄGEN 1 A,Företaget ska bedriva internethandel inom konstväxter och tillbehör till hushåll och privatpersoner. Bedriva handel med värdepapper och därmed förenlig verksamhet.,2000-04-13,active,,,,
556613-6718,Arito & Co AB,Arito & Co AB,46450,,"46450; 73111",VÄSTERLJUNG,61995,MÄTTINGE SOLGLÄNTAN,"Aktiebolaget ska bedriva förvaltning, konsultverksamhet och handel med konsumentvaror inom textilkonfektion, hygien och hälsa, konsultverksamhet avseende marknadsföring, försäljning och administration, förvaltning av fast och lös egendom samt därmed förenlig verksamhet.",2001-08-13,active,,,,
556582-3902,Lindhska Bokhandeln AB,Lindhska Bokhandeln AB,47611,,"47611; 47622",ÖREBRO,70210,DROTTNINGGATAN 11,"Bolaget skall bedriva bok- och pappershandelsrörelse, spelbutik ävensom idka därmed förenlig verksamhet.",1999-12-22,active,,,,
556594-9426,"HEADS, Hair and makeup, T. Gromell AB","HEADS, Hair and makeup, T. Gromell AB",47789,,"47789; 96210",STOCKHOLM,11447,LINNÉGATAN 39,Bolaget skall driva frisersalong samt modellverksamhet ävensom idka därmed förenlig verksamhet.,2000-07-17,active,,,,
556604-1330,Smozle AB,Smozle AB,47634,,"47634; 47631",SLUTARP,52172,KVARNGATAN 10,"Bolaget skall utveckla och starta upp olika Internetbaserade tjänster, förvalta fast och lös egendom samt idka därmed förenlig verksamhet.",2001-02-02,active,,,,
556610-3965,Nya Folkpool i Stockholm AB,Nya Folkpool i Stockholm AB,47521,,47521,JÄRFÄLLA,17562,SALDOVÄGEN 2 A,Bolaget skall bedriva försäljning av simbassänger med tillbehör samt därmed förenlig verksamhet.,2001-04-24,active,,,,
556610-6422,Abrahamsbergs Mat AB,Abrahamsbergs Mat AB,47112,,47112,BROMMA,16830,ABRAHAMSBERGSVÄGEN 8,Bolaget skall bedriva detaljhandel inom livsmedel ävensom idka därmed förenlig verksamhet.,2001-05-04,active,,,,
556553-1323,Shamou Förvaltning AB,Shamou Förvaltning AB,47121,,"47121; 62100",TORSLANDA,42340,LILLA VARHOLMEN 15,"Bolaget skall bedriva handel, äga och förvalta värdepapper samt ekonomiska konsultationer samt därmed förenlig verksamhet.",1998-03-03,active,,,,
556553-2438,Shöp AB,Shöp AB,47401,,"47401; 62100",UPPSALA,75263,REYKJAVIKSGATAN 9,"Bolaget skall bedriva försäljning samt postorderhandel med datorer och datatillbehör, hemelektroniska produkter och telecom, tjänster inom internet, programutveckling, handel med konfektion och förvaltning av fast och lös egendom samt därmed förenlig verksamhet.",1998-02-20,active,,,,
556557-9181,Göteborgs Brasvärme AB,Göteborgs Brasvärme AB,46831,,46831,GÖTEBORG,41502,MARIEHOLMSGATAN 1,Bolaget skall bedriva detaljist- och grossisthandel med braskaminer ävensom idka därmed förenlig verksamhet.,1998-07-07,active,,,,
556578-1209,SE Skogstjänst & foder i Bengtsfors AB,SE Skogstjänst & foder i Bengtsfors AB,47522,,"47522; 47521",BENGTSFORS,66631,BJÖRKHAGSGATAN 10,"Bolaget skall driva försäljning av jord- och skogstillbehör, jakt och fiske samt reparationer av maskiner såsom gräsklippare, snöslungor, motorsågar och därmed förenlig verksamhet.",1999-11-22,active,,,,
556406-1298,Jides Byggspar AB,Jides Byggspar AB,46471,,"46471; 46472",SKÖVDE,54994,SÄTER NYKVARN 2,"Bolaget skall bedriva detalj- och partihandel med möbler, bygg- material, förvaltning av värdepapper och fastigheter och därmed förenlig verksamhet.",1990-09-28,active,,,,
