orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556442-3696,GSF Golden Silver Fish Records Aktiebolag,GSF Golden Silver Fish Records Aktiebolag,46499,,46499; 90110; 90390,SUNDBYBERG,17275,KANALSTIGEN 8,"Bolaget skall idka producerande verksamhet, konsult-, förlags-, artist-, kompositörs-, text-, arrangörsverksamhet och handelsrörelse inom marknadsföring, PR, reklam, konst, bok, film, video, radio, TV, musik, nöjes- och teaterbranschen samt idka därmed förenlig verksamhet. Därjämte kan bolaget köpa, sälja och förvalta reverser, musikmaskiner- och musikinventarier, driva uthyrnings- och leasingverksmahet avseende musikmaskiner och musikinventarier, köp aoch sälja administrativa tjänster, ingå borgensåtaganden samt idka därmed förenlig verksamhet, dock ej sådan verksamhet som avses i lag om bankrörelse eller lag om kreditaktiebolag. Tillika äger bolaget rätt att för dotterbolag och närbesläktade företag ingå borgensåtagande, så och till dess lämna lån.",1992-01-29,active,,,,
556635-1010,Mediamakarna i Lund AB,Mediamakarna i Lund AB,47782,,47782; 73111,LUND,22657,SKRIVAREVÄGEN 4,"Föremålet för bolagets verksamhet är att göra produktioner av hela eller delar av digitala utbildningar eller presentationer. Bedriva handel med ljud, video, fotografier och kort i olika former och format, samt därmed förenlig verksamhet.",2002-11-06,active,,,,
556636-0607,Solkatten Matcenter AB,Solkatten Matcenter AB,47112,,47112; 10120; 10112; 10710; 70200,NYKROPPA,68290,SKARPHYTTAN VIKEN 31,Bolaget skall bedriva dagligvaruförsäljning inom livsmedelshandelssortimentet samt tillverkning och beredning av livsmedel. Bolaget skall också bedriva uthyrning av fordon samt försäljning av administrativa tjänster. Vidare skall bolaget utföra förenlig verksamhet inom dessa områden.,2002-11-25,active,,,,
556639-9258,4 Work Yrkeskläder Norrtälje AB,4 Work Yrkeskläder Norrtälje AB,47711,,47711,NORRTÄLJE,76150,BALDERSGATAN 16,Bolaget skall bedriva handel med yrkeskläder och reklamartiklar och därmed förenlig verksamhet.,2003-03-18,active,,,,
556653-6974,Primed Fysio och Rehab AB,Primed Fysio och Rehab AB,46460,,46460,KUNGÄLV,44245,ARNTORPSGATAN 24,Aktiebolaget ska bedriva handel med utrustning för träning och rehabilitering samt idka därmed förenlig verksamhet.,2004-01-13,active,,,,
556393-4818,UTÖ LIVS Aktiebolag,UTÖ LIVS Aktiebolag,47112,,47112,UTÖ,13056,GRUVBRYGGAN,"Bolaget skall bedriva dagligvaruhandel samt handel med och förvaltning av fastigheter och värdepapper, ävensom idka därmed förenlig verksamhet.",1990-04-17,active,,,,
556385-5658,Berunekurinto AB,Berunekurinto AB,46360,,46360; 90110,GRILLBY,74952,STORGATAN 9,"Aktiebolaget ska bedriva köp försäljning och tillverkning av livsmedelsprodukter, företrädesvis inom bagerisektorn. Bolaget ska bedriva turism- och utbildningsverksamhet, kurser och föreläsningar samt produktion och försäljning av läromedel. Bolaget får tillhandahålla transporttjänster kopplade till turism och utbildning samt i dessa områden erbjuda konsulttjänster. Bolaget skall dessutom producera och sälja alster inom utbildnings-, musik- och konstsektorn samt därmed förenlig verksamhet. Bolaget ska dessutom bedriva köp, försäljning och förvaltning av fastigheter och värdepapper.",1990-01-31,active,,,,
556628-1001,ACT Logimark Sverige AB,ACT Logimark Sverige AB,46649,,46649,MALMÖ,21241,TOPPLOCKSGATAN 3,Bolaget skall bedriva marknadsföring och försäljning av märkningsmaskiner och logistiklösningar samt annan därmed förenlig verksamhet.,2002-06-03,active,,,,
556660-4038,Jacobsens Byggvaror i Ljungby AB,Jacobsens Byggvaror i Ljungby AB,47521,,47521,LJUNGBY,34137,PARKGATAN 18,"Bolaget skall bedriva handel med byggvaror, i huvudsak köksinredningar, dörrar och fönster samt därmed förenlig verksamhet.",2004-04-17,active,,,,
556660-4657,PG Action Partner AB,PG Action Partner AB,46900,,46900,GÄVLE,80647,SKOGSSTJÄRNEVÄGEN 13,Bolaget skall bedriva försäljning av konsulttjänster inom marknadsföring och försäljning samt kampanjmaterial samt därmed förenlig verksamhet.,2004-04-17,active,,,,
556658-8314,IT-Line Sweden AB,IT-Line Sweden AB,46189,,46189; 70200,STOCKHOLM,11157,MÄSTER SAMUELSGATAN 42,"Föremål för bolagets verksamhet är konstruktion av produktionslinjer inom telekommunikation, import, export och försäljning av höghastighetskameror, instrument, verktyg och maskiner för tillverkande företag inom elektronik-, verkstads- och livsmedels- industrin, utföra analyser och service för företag och organisationer inom elektronik-, verkstads- och livsmedelsindustrin, idrott och racing, reparation och service av pappersmaskiner, mc-verkstad och därmed förenlig verksamhet.",2004-04-01,active,,,,
556412-3247,Värmlandsvagnen Aktiebolag,Värmlandsvagnen Aktiebolag,47813,,47813; 77390,KRISTINEHAMN,68142,HAVGATAN 1 B,Föremålet för bolagets verksamhet är att bedriva uthyrning och försäljning av släpfordon och artiklar inom fritidsbranschen och därmed förenlig verksamhet.,1990-11-21,active,,,,
556661-5232,Tool Partner Scandinavia AB,Tool Partner Scandinavia AB,46141,,46141; 46170,HALMSTAD,30234,JESPER DIGSMEDSGATAN 26,"Bolaget ska bedriva agentur och handelsverksamhet inom verktyg, maskiner, trädgårdsredskap samt konsultverksamhet i anslutning härtill, import och distribution av livsmedel, köksutrustning och hygienartiklar samt därmed förenlig verksamhet.",2004-04-24,active,,,,
556652-8971,Möbléra Huset i Agnesberg AB,Möbléra Huset i Agnesberg AB,46150,,46150,AGNESBERG,42438,BÄCKSINS VÄG 3,"Bolaget ska bedriva handel med möbler, hushålls- och järnhadelsvaror samt bedriva därmed förenlig verksamhet.",2003-12-17,active,,,,
556421-1943,Kullens Skor AB,Kullens Skor AB,47721,,47721,FALKENBERG,31121,BOX 13,"Bolaget ska bedriva handel med skor, äga och förvalta värdepapper samt därmed förenlig verksamhet.",1991-02-28,active,,,,
556630-5818,Bränslecompaniet i Värmland AB,Bränslecompaniet i Värmland AB,46810,,46810,KARLSTAD,65221,LOVARTSGATAN 3,"Bolaget skall bedriva handel med petroleum- och kemiprodukter, energi ävensom idka därmed förenlig verksamhet.",2002-08-08,active,,,,
