name, orgnr
Byggaktiebolaget Y. Andersson & Söner,556157-5167
REM Elektriska AB,556157-5308
JULIN BOSTADSANPASSNINGAR OCH FRISKVÅRD AB,556157-7692
Björn Christian Borgqvist Konsult Aktiebolag,556157-8328
Lottas Bud- & Entreprenad Aktiebolag,556158-0571
Tunafors Fastighets Aktiebolag,556158-1348
Krab Klinga-Ringblom Aktiebolag,556158-1777
STENAB Stenbergs Entreprenad AB,556158-2056
Lundhs Gräv & Last Aktiebolag,556158-2742
Engjo Bygg Aktiebolag,556158-4029
A. Eriksson Konsult AB,556158-7626
Alingsås Låsservice Aktiebolag,556158-7956
Nilssons Elektriska i Laholm Aktiebolag,556158-8673
Två Elektrikers Installations Aktiebolag,556158-9788
J.A. Holmbergs Elektriska Aktiebolag,556159-0943
Hallavara Smidesverkstad Aktiebolag,556159-2980
Drosbakken Aktiebolag,556159-3293
Väte El-Service Aktiebolag,556159-4754
Plåt & Tak i Borås Aktiebolag,556159-5991
Torsby Byggtjänst Aktiebolag,556159-6841
Bergmans VVS i Växjö AB,556159-7310
BKN Mellansvenska Stängsel Aktiebolag,556159-7385
Sandö Elservice i Göteborg AB,556160-0064
Byggnadsfirma Häggström & Co Aktiebolag,556160-2375
